row_id,author_rate,author_support,tab_rate,tab_support,duration_rate,duration_support
0,0.22359162232395535,0.0,0.1397447639524721,3.0,0.22359162232395535,0.0
1,0.22359162232395535,0.0,0.2353286790688641,4.0,0.22359162232395535,0.0
2,0.5487928191348189,0.0,0.7286636746395079,7.0,0.6239940159456824,1.0
3,0.5225061800813141,0.0,0.5587647229931789,82.0,0.5225061800813141,0.0
4,0.5225061800813141,0.0,0.5587647229931789,82.0,0.5225061800813141,0.0
5,0.35366198935774934,0.0,0.22166529098757332,12.0,0.35366198935774934,0.0
6,0.35366198935774934,0.0,0.22166529098757332,12.0,0.35366198935774934,0.0
7,0.35366198935774934,0.0,0.22166529098757332,12.0,0.2947183244647911,1.0
8,0.29056954208206365,0.0,0.28055859610479644,18.0,0.29056954208206365,0.0
9,0.29056954208206365,0.0,0.28055859610479644,18.0,0.29056954208206365,0.0
10,0.29056954208206365,0.0,0.28055859610479644,18.0,0.20754967291575976,2.0
11,0.29056954208206365,0.0,0.28055859610479644,18.0,0.3066059638012898,3.0
12,0.2134194296635407,0.0,0.19630825411993622,31.0,0.2583871435397129,3.0
13,0.2134194296635407,0.0,0.19630825411993622,31.0,0.17784952471961724,1.0
14,0.28988687652274536,0.0,0.16104826473485853,4.0,0.16104826473485853,4.0
15,0.28988687652274536,0.0,0.16104826473485853,4.0,0.16104826473485853,4.0
16,0.28988687652274536,0.0,0.3115970425466737,51.0,0.20706205465910382,2.0
17,0.2464789193624981,0.0,0.2464789193624981,0.0,0.2464789193624981,0.0
18,0.2464789193624981,0.0,0.2464789193624981,0.0,0.2464789193624981,0.0
19,0.22359162232395535,0.0,0.17649650930164806,7.0,0.22359162232395535,0.0
20,0.36633618070978596,0.0,0.17025393268584632,41.0,0.19519088295854087,30.0
21,0.36633618070978596,0.0,0.44616334274530134,91.0,0.32398227241938504,13.0
22,0.36633618070978596,0.0,0.17025393268584632,41.0,0.19519088295854087,30.0
23,0.36633618070978596,0.0,0.17025393268584632,41.0,0.5578991697195187,18.0
24,0.36633618070978596,0.0,0.17025393268584632,41.0,0.30198005647180814,11.0
25,0.15137215946275737,0.0,0.10733887992325106,30.0,0.14640506644281556,7.0
26,0.15137215946275737,0.0,0.10733887992325106,30.0,0.1081229710448267,2.0
27,0.15137215946275737,0.0,0.10733887992325106,30.0,0.05822006133182976,8.0
28,0.15137215946275737,0.0,0.10733887992325106,30.0,0.1081229710448267,2.0
29,0.15137215946275737,0.0,0.10733887992325106,30.0,0.12614346621896447,1.0
30,0.15137215946275737,0.0,0.10733887992325106,30.0,0.05822006133182976,8.0
31,0.15137215946275737,0.0,0.031942923587523396,50.0,0.1081229710448267,2.0
32,0.15137215946275737,0.0,0.15137215946275737,0.0,0.14640506644281556,7.0
33,0.15137215946275737,0.0,0.15137215946275737,0.0,0.14640506644281556,7.0
34,0.15137215946275737,0.0,0.031942923587523396,50.0,0.12614346621896447,1.0
