user_id,video_id,tab,hourmin,date,duration_ms,long_view,click,like,play_time_ms
167,117,4,1309,20220408,46186,0,0,0,7306
126,32,2,1724,20220408,45052,1,0,1,38618
27,44,4,1655,20220408,35281,0,0,1,2761
111,148,0,1549,20220408,52150,1,0,0,47704
164,55,2,1240,20220408,32333,0,0,0,0
11,81,4,403,20220408,41888,0,1,0,3885
132,128,0,412,20220408,45763,1,1,1,46531
111,18,1,1714,20220408,37879,0,0,0,5365
154,130,2,1307,20220408,38867,0,0,0,2253
33,129,2,1259,20220408,50284,0,0,0,608
52,15,1,217,20220408,37673,0,0,1,5499
4,64,2,502,20220408,55193,0,0,0,15513
97,107,3,11,20220408,47586,1,1,0,38891
154,42,0,104,20220408,40526,0,1,0,14864
187,142,3,2245,20220408,55954,0,0,0,10555
186,83,1,1519,20220408,46170,1,1,1,46550
185,120,4,1810,20220408,47272,0,1,1,18365
165,49,1,54,20220408,38516,1,0,1,19845
126,8,1,143,20220408,38711,0,0,0,6567
150,26,0,2329,20220408,42243,0,1,0,6410
23,115,2,1923,20220408,35168,1,1,0,37359
21,104,2,951,20220408,36927,0,0,0,3459
33,141,0,1011,20220408,48929,1,0,1,20139
21,106,3,126,20220408,47745,0,0,0,6333
27,24,1,310,20220408,47557,0,0,0,11817
86,78,2,842,20220408,47297,0,0,0,13058
199,55,1,2317,20220408,32333,1,0,0,26667
154,61,2,1900,20220408,54554,1,1,1,53410
187,14,3,1444,20220408,56586,1,1,0,50163
8,61,3,2359,20220408,54554,1,1,1,53024
11,54,4,1013,20220408,42629,0,0,0,9210
149,80,2,2202,20220408,43458,1,1,0,37315
26,139,1,2002,20220408,62586,0,0,0,12782
100,111,3,1447,20220408,41421,0,0,0,623
53,59,2,1222,20220408,45007,1,1,1,29970
66,41,0,2203,20220408,47855,1,1,1,49178
154,70,3,311,20220408,53371,1,0,0,51744
2,147,4,346,20220408,50212,1,0,1,30606
191,35,3,557,20220408,25286,0,0,0,28
126,129,1,1354,20220408,50284,0,0,1,9859
176,47,0,1106,20220408,27973,0,0,0,1375
181,50,4,1834,20220408,39425,1,1,0,37382
83,135,1,135,20220408,40509,0,0,0,5416
156,101,2,250,20220408,39237,1,1,0,35973
47,80,4,1852,20220408,43458,1,1,0,39414
48,114,4,1820,20220408,40041,1,1,0,33396
196,44,2,749,20220408,35281,0,0,0,4325
179,2,2,1127,20220408,41237,1,1,1,38839
22,19,1,2016,20220408,41434,0,0,0,1818
98,29,0,749,20220408,37239,0,0,0,5633
15,73,0,2315,20220408,61969,1,1,1,54655
145,71,3,2233,20220408,54003,1,0,1,38820
198,81,3,714,20220408,41888,1,1,0,39095
89,145,1,2341,20220408,14663,0,1,0,0
31,13,3,729,20220408,51505,1,1,1,51510
29,116,0,1910,20220408,52708,0,1,1,4389
71,49,4,1038,20220408,38516,1,0,0,34904
82,26,4,313,20220408,42243,0,0,0,12721
116,129,3,1844,20220408,50284,0,0,0,0
163,74,3,2022,20220408,38641,1,0,1,31742
59,84,4,611,20220408,57637,0,0,0,10043
74,83,1,1855,20220408,46170,0,1,1,14365
123,7,3,2322,20220408,40271,1,1,1,37565
49,50,1,2302,20220408,39425,0,1,0,1181
166,10,0,1223,20220408,39507,0,0,0,0
183,61,4,936,20220408,54554,1,0,1,24236
197,66,2,806,20220408,38931,1,1,1,36362
165,79,2,1247,20220408,43860,1,1,1,42218
57,34,3,1334,20220408,38426,0,0,0,14479
56,128,4,2149,20220408,45763,1,1,0,47469
12,62,2,1916,20220408,36022,1,0,0,38180
111,133,3,538,20220408,54073,1,1,1,43825
197,121,3,2022,20220408,40714,1,1,0,34682
