row_id,user_tab_click_rate,ut_impressions,user_duration_click_to_long_rate,ud_clicks
0,0.1727726715256697,3.0,0.8078451363085802,1.0
1,0.2646868191339286,4.0,0.8078451363085802,1.0
2,0.747536764681335,7.0,0.9213911921262374,3.0
3,0.7168605494094638,82.0,0.7704921772116903,13.0
4,0.7168605494094638,82.0,0.7704921772116903,13.0
5,0.25480726643113444,12.0,0.7694572112832662,9.0
6,0.25480726643113444,12.0,0.7694572112832662,9.0
7,0.25480726643113444,12.0,0.7694572112832662,9.0
8,0.5512026020160006,18.0,0.5744323320947852,0.0
9,0.5512026020160006,18.0,0.5744323320947852,0.0
10,0.5512026020160006,18.0,0.5338328782249024,6.0
11,0.5512026020160006,18.0,0.5338328782249024,6.0
12,0.48347698801424716,31.0,0.41570163425811113,8.0
13,0.48347698801424716,31.0,0.3434458921936349,2.0
14,0.22146844529410614,4.0,0.587129415689769,8.0
15,0.22146844529410614,4.0,0.587129415689769,8.0
16,0.4284502858508385,51.0,0.587129415689769,8.0
17,0.49038080491015046,0.0,0.4594781237098456,1.0
18,0.49038080491015046,0.0,0.4594781237098456,1.0
19,0.5526817810171131,7.0,0.4455892348209568,3.0
20,0.29227491082186274,41.0,0.6741330193598817,5.0
21,0.5879650614354759,91.0,0.5954869379691398,8.0
22,0.29227491082186274,41.0,0.6379255770665352,4.0
23,0.29227491082186274,41.0,0.921333137099926,11.0
24,0.29227491082186274,41.0,0.6844056605912529,18.0
25,0.2929561639076478,30.0,0.7253038354873487,2.0
26,0.2929561639076478,30.0,0.7253038354873487,2.0
27,0.2929561639076478,30.0,0.615425369682288,0.0
28,0.2929561639076478,30.0,0.7253038354873487,2.0
29,0.2929561639076478,30.0,0.6346408560514301,3.0
30,0.2929561639076478,30.0,0.615425369682288,0.0
31,0.09551755885032133,50.0,0.6346408560514301,3.0
32,0.2506931473535346,0.0,0.564125205379049,4.0
33,0.2506931473535346,0.0,0.564125205379049,4.0
34,0.09551755885032133,50.0,0.6346408560514301,3.0
35,0.4634470586585716,0.0,0.7232969962843555,0.0
36,0.7385378823463428,20.0,0.968556476850495,6.0
37,0.7385378823463428,20.0,0.9505887493364921,2.0
38,0.008020394809702269,39.0,0.7694141635702962,0.0
39,0.008020394809702269,39.0,0.8078451363085802,1.0
40,0.30771276863913566,39.0,0.5267101670196598,6.0
41,0.30771276863913566,39.0,0.4656353062027096,1.0
42,0.30771276863913566,39.0,0.5587623674432515,0.0
43,0.30771276863913566,39.0,0.5267101670196598,6.0
44,0.22523746998273506,23.0,0.8013737484518147,1.0
45,0.22523746998273506,23.0,0.8013737484518147,1.0
46,0.22523746998273506,23.0,0.8013737484518147,1.0
47,0.22523746998273506,23.0,0.8510303113388611,3.0
48,0.2613298319033164,0.0,0.7616484981421777,0.0
49,0.2613298319033164,0.0,0.7616484981421777,0.0
50,0.462938714546018,27.0,0.758852294237241,4.0
51,0.462938714546018,27.0,0.8537088310168961,3.0
52,0.4634470586585716,0.0,0.7232969962843555,0.0
53,0.4634470586585716,0.0,0.7232969962843555,0.0
54,0.4634470586585716,0.0,0.7232969962843555,0.0
55,0.4634470586585716,0.0,0.7232969962843555,0.0
56,0.5327463495978217,10.0,0.8847070817851481,0.0
57,0.028319864113352154,30.0,0.8847070817851481,0.0
58,0.028319864113352154,30.0,0.9423535408925741,5.0
59,0.573137322421135,61.0,0.6418383852231435,7.0
60,0.5654126559589827,0.0,0.6418383852231435,7.0
61,0.573137322421135,61.0,0.7404121245355444,0.0
62,0.573137322421135,61.0,0.7404121245355444,0.0
